2025-10-20 10:12:29,455 - INFO - Project File Monitor started
2025-10-20 10:13:57,950 - INFO - Project File Monitor started
2025-10-20 11:57:09,039 - INFO - Project File Monitor started
2025-10-20 12:10:49,364 - INFO - JOB:35371 | NEW | 4. Drafting\Fabs\HTR\35371-02.8 FGR SUPPORT.iam.dwf | New file (139.4 KB)
2025-10-20 12:10:50,330 - INFO - JOB:35371 | NEW | 4. Drafting\Fabs\HTR\35371-02.8 FGR SUPPORT.idw.dwf | New file (211.7 KB)
2025-10-20 12:10:50,330 - INFO - JOB:35371 | NEW | 4. Drafting\Fabs\HTR\35371-02.8 FGR SUPPORT.idw.dwf | New file (211.7 KB)
2025-10-20 12:11:05,651 - INFO - JOB:35371 | NEW | 4. Drafting\Fabs\HTR\FINAL FABRICATION & ASSEMBLY.iam.dwf | New file (37.9 MB)
2025-10-20 12:11:05,651 - INFO - JOB:35371 | NEW | 4. Drafting\Fabs\HTR\FINAL FABRICATION & ASSEMBLY.iam.dwf | New file (37.9 MB)
2025-10-20 12:11:09,622 - INFO - JOB:35371 | NEW | 4. Drafting\Fabs\HTR\GAS TRAIN.iam.dwf | New file (5.9 MB)
2025-10-20 12:11:09,623 - INFO - JOB:35371 | NEW | 4. Drafting\Fabs\HTR\GAS TRAIN.iam.dwf | New file (5.9 MB)
2025-10-20 12:11:10,252 - INFO - JOB:35371 | NEW | 4. Drafting\Fabs\HTR\FGR PARTS\FGR INLET FLANGE 1.ipt.dwf | New file (116.8 KB)
2025-10-20 12:11:10,253 - INFO - JOB:35371 | NEW | 4. Drafting\Fabs\HTR\FGR PARTS\FGR INLET FLANGE 1.ipt.dwf | New file (116.8 KB)
2025-10-20 12:11:11,454 - INFO - JOB:35371 | NEW | 4. Drafting\Fabs\HTR\HEATER FINAL SUBASSEMBLIES\WELDMENT FABRICATION & ASSEMBLY.iam.dwf | New file (1.2 MB)
2025-10-20 12:11:11,455 - INFO - JOB:35371 | NEW | 4. Drafting\Fabs\HTR\HEATER FINAL SUBASSEMBLIES\WELDMENT FABRICATION & ASSEMBLY.iam.dwf | New file (1.2 MB)
2025-10-20 12:11:14,012 - INFO - JOB:35371 | UPDATED | 4. Drafting\Fabs\HTR\HEATER WELDMENT SUBASSEMBLIES\STACK ASSEMBLY\HEATER STACK ASSEMBLY.iam.dwf | Content changed & File modified
2025-10-20 12:11:14,013 - INFO - JOB:35371 | UPDATED | 4. Drafting\Fabs\HTR\HEATER WELDMENT SUBASSEMBLIES\STACK ASSEMBLY\HEATER STACK ASSEMBLY.iam.dwf | Content changed & File modified
2025-10-20 12:11:20,400 - INFO - JOB:35371 | UPDATED | 4. Drafting\Fabs\HWT2\Tank Full Assembly.iam.dwf | Content changed & File modified
2025-10-20 12:11:20,402 - INFO - JOB:35371 | UPDATED | 4. Drafting\Fabs\HWT2\Tank Full Assembly.iam.dwf | Content changed & File modified
2025-10-20 12:11:21,862 - INFO - JOB:35371 | UPDATED | 4. Drafting\Fabs\HWT2\Tank Shell Assembly.iam.dwf | Content changed & File modified
2025-10-20 12:11:21,863 - INFO - JOB:35371 | UPDATED | 4. Drafting\Fabs\HWT2\Tank Shell Assembly.iam.dwf | Content changed & File modified
2025-10-20 12:11:22,851 - INFO - JOB:35371 | UPDATED | 4. Drafting\Fabs\HWT2\Heater External Support\Heater External Supports.iam.dwf | Content changed & File modified
